Forest.datetime,Forest,Tundra.datetime,Tundra,Shrub.datetime,shrub_creek,Nellie.datetime,Nellie_Juan
1/1/22 0:00,18.60360324,8/5/22 12:45,1.685265713,1/1/22 0:00,6.463927116,5/4/22 16:39,14.21505533
1/1/22 0:15,18.60970311,8/5/22 13:00,1.651837998,1/1/22 0:15,6.495849874,5/4/22 16:54,14.2060402
1/1/22 0:30,18.59301334,8/5/22 13:15,1.688228759,1/1/22 0:30,6.479239171,5/4/22 17:09,14.23784239
1/1/22 0:45,18.51434641,8/5/22 13:30,1.698610467,1/1/22 0:45,6.49486024,5/4/22 17:24,14.26097091
1/1/22 1:00,18.64083606,8/5/22 13:45,1.743488203,1/1/22 1:00,6.4789794,5/4/22 17:39,14.32305364
1/1/22 1:15,18.60820595,8/5/22 14:00,1.665716916,1/1/22 1:15,6.487258031,5/4/22 17:54,14.36811831
1/1/22 1:30,18.62684357,8/5/22 14:15,1.667324821,1/1/22 1:30,6.495485237,5/4/22 18:09,14.38901291
1/1/22 1:45,18.52805355,8/5/22 14:30,1.697210595,1/1/22 1:45,6.479602884,5/4/22 18:24,14.46708717
1/1/22 2:00,18.57572686,8/5/22 14:45,1.653634037,1/1/22 2:00,6.455700263,5/4/22 18:39,14.43170609
1/1/22 2:15,18.49765863,8/5/22 15:00,1.663190686,1/1/22 2:15,6.463771603,5/4/22 18:54,14.42890631
1/1/22 2:30,18.57572686,8/5/22 15:15,1.583378049,1/1/22 2:30,6.471635471,5/4/22 19:09,14.48256354
1/1/22 2:45,18.52671209,8/5/22 15:30,1.582779361,1/1/22 2:45,6.47147978,5/4/22 19:24,14.48806936
1/1/22 3:00,18.46443484,8/5/22 15:45,1.652195311,1/1/22 3:00,6.455130827,5/4/22 19:39,14.5735382
1/1/22 3:15,18.46190974,8/5/22 16:00,1.652209831,1/1/22 3:15,6.438318821,5/4/22 19:54,14.58533552
1/1/22 3:30,18.51747577,8/5/22 16:15,1.661962171,1/1/22 3:30,6.462165066,5/4/22 20:09,14.61256519
1/1/22 3:45,18.41438397,8/5/22 16:30,1.56478014,1/1/22 3:45,6.446388339,5/4/22 20:24,14.64678255
1/1/22 4:00,18.52462577,8/5/22 16:45,1.644447571,1/1/22 4:00,6.470753318,5/4/22 20:39,14.64028458
1/1/22 4:15,18.41946511,8/5/22 17:00,1.642829532,1/1/22 4:15,6.446853551,5/4/22 20:54,14.73042595
1/1/22 4:30,18.39711052,8/5/22 17:15,1.616743843,1/1/22 4:30,6.446801857,5/4/22 21:09,14.71643066
1/1/22 4:45,18.45923686,8/5/22 17:30,1.633484679,1/1/22 4:45,6.446750164,5/4/22 21:24,14.75066463
1/1/22 5:00,18.40263814,8/5/22 17:45,1.607448724,1/1/22 5:00,6.446801857,5/4/22 21:39,14.71298802
1/1/22 5:15,18.39607465,8/5/22 18:00,1.668833222,1/1/22 5:15,6.438938337,5/4/22 21:54,14.72399552
1/1/22 5:30,18.41008895,8/5/22 18:15,1.597275855,1/1/22 5:30,6.431126008,5/4/22 22:09,14.63830746
1/1/22 5:45,18.41783554,8/5/22 18:30,1.710526316,1/1/22 5:45,6.431177579,5/4/22 22:24,14.65004023
1/1/22 6:00,18.32338605,8/5/22 18:45,1.710481303,1/1/22 6:00,6.447215428,5/4/22 22:39,14.76750826
