SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O
WG0001,Terminus,6/16/19 16:30,,40.33,,5.48,,,303.88,15.21,0.09,6.91,0.08,0.21,0.36,0.01,0.78,0.54,0.04,,0.3,,0.01,0,7.45,0,0.01,0,0.01,0.29,1.24,,,-126.324,-16.502
WG0002,Terminus,6/16/19 17:20,,34.39,,5.68,,,225.32,11.28,0.03,6.37,0.02,0.19,0.32,0,0.6,0.39,0.04,,0.3,,0,0,6.88,0,0,0,0,3.13,1.37,,,-127.132,-16.291
WG0003,Tundra,6/16/19 18:45,,17.22,,5.63,,,165.83,8.3,0,3.21,0,0.12,0.09,0,0.7,0.67,0.02,,0.23,,0,0,1.15,0,0,0,0,1.48,1.25,,,-119.409,-15.681
WG0004,Tundra,6/17/19 14:45,,13.58,,5.54,,,120.8,6.05,0,2.5,0,0.08,0.08,0,0.55,0.48,0.02,,0.24,,0.01,0,1.04,0,0,0,0,0.33,1.24,,,-122.077,-16.795
WG0005,lake_outlet,6/17/19 18:15,,18.87,,5.62,,,170.43,8.53,0,3.67,0,0.19,0.11,0,1.4,0.75,0.02,,0.46,,0.07,0,1.66,0.07,0.06,0,0.27,0.58,1.26,,,-121.918,-15.936
WG0006,Tundra,6/17/19 18:00,,12.04,,5.53,,,94.16,4.71,0,2.08,0,0.05,0.07,0,0.53,0.39,0.01,,0.2,,0.01,0,0.99,0,0,0,0,0.27,1.25,,,-121.561,-16.538
WG0007,Other Tundra,6/17/19 18:05,,16.41,,5.6,,,160,8.01,0,3.14,0,0.04,0.07,0,0.62,0.59,0.02,,0.16,,0,0,0.86,0,0,0,0,0.69,1.26,,,-123.916,-16.589
WG0008,Other Tundra,6/17/19 18:30,,22.52,,5.7,,,208.93,10.46,0.01,4.24,0.01,0.02,0.1,0,0.76,0.86,0.03,,0.21,,0,0,1.38,0,0,0,0,0.83,1.29,,,-120.98,-16.171
WG0009,supraglacial,6/18/19 11:15,,5.44,,5.42,,,39.86,2,0.05,0.88,0.06,0.05,0.03,0,0.42,0.19,0,,0.09,,0,0,0.19,0,0,0,0,0.17,1.57,,,-122.512,-16.166
WG0010,supraglacial,6/18/19 12:00,,50.9,,5.73,,,270.81,13.55,0.05,8.46,0.04,0.23,0.56,0,1.15,0.54,0.05,,0.59,,0.03,0,10.75,0,0.03,0,0.01,0.32,1.29,,,-130.733,-17.476
WG0011,Other Tundra,6/18/19 15:00,,28.79,,5.35,,,267.85,13.4,0.01,5.09,0,0.08,0.13,0,0.75,1.13,0.02,,0.27,,0,0,1.19,0,0,0,0,0.64,1.26,,,-127.934,-16.727
WG0012,Other Tundra,6/18/19 15:25,,29.75,,5.59,,,267.77,13.4,0.02,5.6,0.01,0.11,0.14,0,0.78,1.28,0.03,,0.27,,0,0,1.09,0,0,0,0,0.79,1.3,,,-128.324,-16.943
WG0013,Other Tundra,6/18/19 15:40,,15.78,,5.45,,,109.55,5.48,0,2.64,0.01,0.06,0.1,0,0.77,1.04,0.01,,0.29,,0,0,0.63,0,0,0,0,1.26,1.27,,,-124.515,-16.006
WG0014,glacier_hut,6/19/19 10:00,,48,,5.65,,,251.5,12.59,0.02,7.84,0.01,0.25,0.5,0,0.95,0.42,0.04,,0.65,,0.05,0,9.57,0.01,0.05,0,0.09,0.3,1.2,,,-127.006,-16.62
WG0015,Tundra,6/19/19 13:10,,16.02,,5.58,,,140.94,7.05,0,2.64,0,0.07,0.08,0,0.53,0.52,0.02,,0.2,,0.01,0,1.02,0,0,0,0,0.43,1.29,,,-124.709,-16.483
WG0016,Terminus,6/19/19 14:20,,33.99,,5.68,,,208.87,10.45,0.06,5.66,0.05,0.18,0.32,0,0.66,0.45,0.03,,0.36,,0.02,0,5.54,0,0.02,0,0,0.36,1.19,,,-121.126,-16.298
WG0017,shrub_creek,6/19/19 16:20,,25.04,,5.61,,,195.77,9.8,0,4.59,0,0.09,0.11,0,0.75,0.76,0.02,,0.2,,0.01,0,1.68,0,0,0,0,0.39,1.35,,,-125.964,-16.923
WG0018,Nellie_Juan,7/17/19 11:45,,32.62,,5.58,,,224.08,11.21,0.17,5.55,0.12,0.34,0.37,0.01,0.92,0.84,0.03,,0.32,,0,0,3.88,0,0.02,0,0,1.11,,,,-116.496,-15.569
WG0019,stream_gauge,7/17/19 12:20,,33.52,,5.79,,,294.91,14.76,0,6.3,0,0.07,0.15,0,0.82,0.94,0.03,,0.15,,0.01,0,2.4,0,0.01,0,0,1.15,,,,-117.959,-15.987
WG0020,Tundra,7/17/19 17:45,,15.64,,5.65,,,136.81,6.85,0,2.57,0.03,0.2,0.09,0,1.1,0.52,0.02,,0.13,,0,0,1.01,0,0,0.01,0.08,2.92,,,,-115.104,-15.588
WG0021,glacier_hut,7/17/19 21:00,,17.26,,5.92,,,99.55,4.98,0.09,2.17,0.08,0.11,0.13,0.01,0.56,0.35,0.01,,0,,0,0,0,0,0.01,0,0,1,,,,-124.519,-17
