glacier ctd utc-9,glacier ctd WT deg C,datetime,glacier,wolv wt cor fDOM QSE (of +1 data),glacier raw fDOM QSU
7/1/21 11:00,0.18,7/1/21 11:00,0.44,0.35,-0.56
7/1/21 11:15,0.16,7/1/21 11:15,0.38,0.3,-0.62
7/1/21 11:30,0.14,7/1/21 11:30,0.39,0.31,-0.61
7/1/21 11:45,0.13,7/1/21 11:45,0.37,0.3,-0.63
7/1/21 12:00,0.16,7/1/21 12:00,0.39,0.31,-0.61
7/1/21 12:15,0.14,7/1/21 12:15,0.4,0.32,-0.6
7/1/21 12:30,0.17,7/1/21 12:30,0.41,0.33,-0.59
7/1/21 12:45,0.13,7/1/21 12:45,0.38,0.3,-0.62
7/1/21 13:00,0.16,7/1/21 13:00,0.38,0.3,-0.62
7/1/21 13:15,0.14,7/1/21 13:15,0.4,0.32,-0.6
7/1/21 13:30,0.17,7/1/21 13:30,0.37,0.3,-0.63
7/1/21 13:45,0.16,7/1/21 13:45,0.41,0.33,-0.59
7/1/21 14:00,0.16,7/1/21 14:00,0.4,0.32,-0.6
7/1/21 14:15,0.16,7/1/21 14:15,0.41,0.33,-0.59
7/1/21 14:30,0.18,7/1/21 14:30,0.4,0.32,-0.6
7/1/21 14:45,0.18,7/1/21 14:45,0.4,0.32,-0.6
7/1/21 15:00,0.18,7/1/21 15:00,0.36,0.29,-0.64
7/1/21 15:15,0.18,7/1/21 15:15,0.4,0.32,-0.6
7/1/21 15:30,0.19,7/1/21 15:30,0.4,0.32,-0.6
7/1/21 15:45,0.19,7/1/21 15:45,0.4,0.32,-0.6
7/1/21 16:00,0.19,7/1/21 16:00,0.39,0.31,-0.61
7/1/21 16:15,0.19,7/1/21 16:15,0.39,0.31,-0.61
7/1/21 16:30,0.2,7/1/21 16:30,0.39,0.31,-0.61
7/1/21 16:45,0.24,7/1/21 16:45,0.43,0.34,-0.57
7/1/21 17:00,0.19,7/1/21 17:00,0.39,0.31,-0.61
7/1/21 17:15,0.19,7/1/21 17:15,0.39,0.31,-0.61
7/1/21 17:30,0.2,7/1/21 17:30,0.39,0.31,-0.61
7/1/21 17:45,0.2,7/1/21 17:45,0.42,0.34,-0.58
7/1/21 18:00,0.2,7/1/21 18:00,0.4,0.32,-0.6
7/1/21 18:15,0.22,7/1/21 18:15,0.36,0.29,-0.64
7/1/21 18:30,0.22,7/1/21 18:30,0.41,0.33,-0.59
7/1/21 18:45,0.23,7/1/21 18:45,0.39,0.31,-0.61
7/1/21 19:00,0.23,7/1/21 19:00,0.4,0.32,-0.6
7/1/21 19:15,0.23,7/1/21 19:15,0.4,0.32,-0.6
7/1/21 19:30,0.25,7/1/21 19:30,0.41,0.33,-0.59
7/1/21 19:45,0.23,7/1/21 19:45,0.42,0.34,-0.58
7/1/21 20:00,0.21,7/1/21 20:00,0.41,0.33,-0.59
7/1/21 20:15,0.23,7/1/21 20:15,0.43,0.34,-0.57
7/1/21 20:30,0.22,7/1/21 20:30,0.38,0.3,-0.62
7/1/21 20:45,0.21,7/1/21 20:45,0.42,0.34,-0.58
7/1/21 21:00,0.21,7/1/21 21:00,0.39,0.31,-0.61
7/1/21 21:15,0.21,7/1/21 21:15,0.38,0.3,-0.62
