SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab
WG0107,bench_outlet,9/12/2020 18:40,,14.42,,5.71,,,145.08,7.26,0.04,2.43,0.04,0.14,0.08,0,0.05,0.12,0.01,0,0.12,0,0,0,0.5,0.01,0,0,0.03,0.34,1.02,0.26,0.43
WG0109,bench_outlet,9/13/2020 11:09,,27.12,,5.5,,,261.54,13.09,0.02,4.43,0.01,0.22,0.11,0,0.08,0.12,0.02,0,0.04,0,0,0,1.07,0,0,0,0.01,0.28,0.92,0.33,0.26
WG0110,bench_outlet,9/13/2020 11:19,,24.71,,5.7,,,243.55,12.19,0.02,4.42,0.01,0.22,0.11,0,0.09,0.12,0.02,0,0.04,0,0,0,1.02,0,0,0,0,0.38,1.48,-0.04,0.11
WG0111,bench_outlet,9/13/2020 11:28,,22.67,,5.7,,,219.42,10.98,0.02,4.06,0.02,0.21,0.11,0,0.08,0.13,0.02,0,0.04,0,0,0,0.94,0,0,0,0.01,0.45,0.92,0.18,0.11
WG0158,cabin_stream,9/27/2021 16:02,,59.43,,6.25,,,500.91,25.07,0,11.53,0,0.03,0.37,0,0.49,1.27,0.06,0,0.32,0,0,0,4.44,0,0,0,0,0.36,1.45,0.24,2.28
WG0200,cabin_stream,8/6/2022 20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0217,cabin_stream,9/4/2022 18:00,9.7,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0142,forest,9/7/2021 14:10,,59.27,,6.5,,,560.98,28.07,0.02,11.93,0,0.03,0.41,0,0.82,1.59,0.07,0.01,0.53,0.05,0,0,2.47,0,0,0,0.03,1.22,1.34,0.91,7.13
WG0150,forest,9/26/2021 17:48,,52.34,,6.24,,,474.08,23.73,0.03,10.08,0.01,0.08,0.38,0,0.79,1.67,0.06,0,0.73,0,0,0,1.95,0,0,0,0.03,1.98,1.34,0.88,10.02
WG0170,forest,5/4/2022 12:15,,34.41,,5.87,,,242.66,12.14,0.06,5.84,0.01,0.01,0.27,0,0.7,1.16,0.04,0,1.64,0,0.07,0,1.22,,0,,,2.61,,,
WG0194,forest,8/4/2022 11:00,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0209,forest,9/2/2022 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0100,forest,9/9/2020 16:20,,62.17,,5.94,,,597.88,29.92,0.03,11.1,0.01,0.14,0.41,0,1.05,1.66,0.08,0,0.59,0,0,0,2.77,0.02,0,0.01,0.08,1.58,1.31,0.96,13.44
WG0133,forest,6/4/2021 5:30,,31.54,,6.19,,,258.92,12.96,0.03,5.69,0,0.05,0.22,0,0.51,0.92,0.03,0,0.56,0,0,0,1.28,0,0,0.01,0.01,1.16,1.29,0.89,11.64
WG0137,forest,7/1/2021 17:30,,35.51,,6.11,,,326.04,16.32,0.01,6.62,0,0.03,0.22,0,0.46,0.92,0.04,0.01,0.4,0,0,0.01,1.67,,,,,0.72,1.26,0.56,2.91
WG0189,forest,7/6/2022 10:45,,38.84,,6.04,,,367.83,18.41,0.01,7.19,0,0.04,0.25,0,0.45,0.91,0.04,0.01,0.41,0,0,0.02,1.94,,,,,0.97,,,
WG0068,forest_n,10/12/2019 12:20,,67.1,,5.93,,,566.54,28.35,0,13.51,0,0.14,0.33,0,1.14,0.96,0.07,,0.57,,0.07,0.03,4.9,0,0.06,0.01,0,1.78,1.36,0.66,9.36
WG0077,forest_n,5/9/2020 15:45,,26.52,,5.74,,,227.73,11.4,0.02,4.82,0,0.05,0.11,0,0.45,0.69,0.01,0,0.48,0,0.01,0,1.26,0,0.01,0,0.02,1.77,1.22,0.77,11.36
WG0082,forest_n,5/14/2020 14:05,,35.92,,5.83,,,313.23,15.68,0.01,6.72,0,0.05,0.15,0,0.49,0.8,0.02,0.01,0.41,0,0.01,0,1.87,0,0.01,0,0.02,1.21,1.26,0.94,6.42
WG0087,forest_n,6/10/2020 17:45,,25.46,,5.73,,,233.24,11.67,0.01,4.75,0,0.05,0.09,0,0.33,0.6,0.01,0,0.21,0,0,0,1.26,0,0,0,0.03,0.34,1.27,0.91,2.89
WG0092,forest_n,6/30/2020 19:17,,37.18,,5.81,,,346.06,17.32,0.01,7.18,0,0.06,0.15,0,0.44,0.84,0.02,0,0.22,0,0.01,0,1.73,0,0.01,0,0.02,0.8,1.35,0.94,4.3
WG0095,forest_n,9/5/2020 13:10,,47.67,,5.88,,,445.75,22.31,0.01,8.57,0.01,0.07,0.19,0,0.69,1.25,0.05,0,0.38,0,0.01,0,2.31,0,0.01,0,0.04,0.98,1.34,0.97,10.74
WG0014,glacier_hut,6/19/2019 10:00,,48,,5.65,,,251.5,12.59,0.02,7.84,0.01,0.25,0.5,0,0.95,0.42,0.04,,0.65,,0.05,0,9.57,0.01,0.05,0,0.09,0.3,1.2,,
WG0021,glacier_hut,7/17/2019 21:00,,17.26,,5.92,,,99.55,4.98,0.09,2.17,0.08,0.11,0.13,0.01,0.56,0.35,0.01,,0,,0,0,0,0,0.01,0,0,1,,,
WG0022,glacier_hut,7/18/2019 9:15,0.2,13.91,89.8,5.48,,,101.78,5.09,0.2,2.31,0.16,0.14,0.17,0,0.49,0.52,0.01,,0.19,,0.01,0,1.58,0,0.01,0,0,1,,,
WG0027,glacier_hut,7/18/2019 19:47,0.2,12.57,90.3,5.5,,,88.99,4.45,0.02,2.31,0.03,0.17,0.16,0,0.6,0.27,0.01,,0.17,,0.01,0,1.48,0,0.01,0,0,0.92,,,
WG0028,glacier_hut,7/19/2019 9:36,,12.63,,5.5,,,89.97,4.5,0.03,2.11,0.01,0.05,0.11,0,0.49,0.21,0.01,,0.19,,0.02,0,1.53,0,0.01,0,0,0.63,,,
WG0034,glacier_hut,7/19/2019 20:27,0.2,12.62,90.9,5.49,,,94.7,4.74,0.06,2.02,0.05,0.09,0.11,0,0.59,0.28,0.01,,0.18,,0.01,0,1.43,0,0.01,0,0,0.61,,,
WG0035,glacier_hut,7/20/2019 9:15,0.2,13.09,90.8,5.49,,,98.43,4.93,0.03,2.18,0.03,0.09,0.12,0,0.56,0.25,0.01,,0.19,,0.01,0.01,1.54,0,0.01,0,0,0.61,,,
WG0041,glacier_hut,9/5/2019 17:20,,17.82,,5.54,,,101.37,5.07,0,2.51,0,0.08,0.14,0,0.47,0.11,0.01,,0.13,,0.01,0.02,2.44,0,0.01,0.02,0,0.82,1.41,0.17,
WG0042,glacier_hut,9/6/2019 9:15,0.2,17.79,,5.51,,,117.56,5.88,0,2.6,0,0.05,0.15,0,0.42,0.09,0.01,,0.17,,0.01,0.01,2.66,0,0,0.01,0,0.87,1.7,0.03,
WG0047,glacier_hut,9/6/2019 18:15,,15.96,,5.4,,,96.32,4.82,0,2.63,0,0.06,0.15,0,0.53,0.13,0.01,,0.11,,0.01,0.01,2.6,0,0.01,0.01,0,0.86,1.18,0.01,
WG0048,glacier_hut,9/7/2019 10:05,,15.58,,5.51,,,98.65,4.94,0,2.55,0.01,0.06,0.14,0,0.51,0.1,0.01,,0.15,,0.01,0.03,2.55,0,0,0,0,0.34,1.39,0.2,
WG0051,glacier_hut,9/7/2019 17:30,,16.14,,5.4,,,87.68,4.39,0,2.37,0.01,0.04,0.13,0,0.49,0.11,0.01,,0.13,,0.01,0.02,2.32,0,0.01,0.04,0,1.01,1.47,0.2,
WG0054,glacier_hut,9/8/2019 9:15,,14.79,,5.4,,,86.63,4.34,0,2.55,0.01,0.07,0.13,0,0.41,0.11,0.01,,0.15,,0.01,0.02,2.36,0,0.01,0.01,0,0.69,1.52,0.16,
WG0057,glacier_hut,9/8/2019 18:00,,14.92,,5.52,,,91.18,4.56,0,2.55,0,0.06,0.15,0,0.7,0.16,0.01,,0.12,,0.01,0.03,2.44,0,0,0.01,0,0.78,1.58,0.16,
WG0058,glacier_hut,9/9/2019 8:50,,15.13,,5.5,,,86.41,4.32,0,2.53,0,0.05,0.17,0,0.56,0.12,0.01,,0.13,,0.01,0.03,2.65,0,0.01,0.01,0,0.96,0.85,0.05,
