site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,Al,As,Ba,Ca,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,V,Zn,Chloride,Nitrate,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,Phosphate_P,DOC,FI,d18O,d2H
bench_outlet,8/20/16 18:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,
bench_outlet,8/21/16 12:00,,,,,,,0.0145,0.00201,0.0023,9.82823,0,0,0,0.14475,0.22122,0,0.0005,0.43713,0,0,0.00042,0,0,0.00116,0.08,1.46,3.7,,,,0.99,,-15.71,-118.36
bench_outlet,8/22/16 14:35,,,,,,,0.00724,0.00019,0.00169,0.76378,0,0,0,0.05426,0,0.00146,0,0,0.00033,0,0.00023,0,0,0.00283,0.1,0,0,,,,2.5,,-15.65,-115.19
bench_outlet,8/23/16 10:25,,,,,,,0.00789,0.00005,0.00084,0.41798,0,0,0,0.039,0,0,0,0,0,0,0.00017,0,0,0.00135,0.07,0,0,,,,0.67,,-15.83,-115.18
bench_outlet,8/23/16 17:15,,,,,,,0.01964,0.00019,0.0013,0.96851,0,0,0,0.0345,0,0.00205,0.00007,0,0.00037,0,0.0002,0,0,0.00191,0.08,0,0,,,,2.43,,-15.85,-118.57
bench_outlet,8/25/16 13:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,-15.29,-110.64
bench_outlet,9/8/16 16:37,0.1,7,,7.69,4,,0.38467,0.0012,0.00603,1.83529,0.00111,0.00313,0.76067,0.08381,0.19206,0.01698,0.00009,0,0.00354,0.00108,0.00014,0,0,0.00628,0,0,0,,,,0.74,,-16.26,-118.62
bench_outlet,9/9/16 10:23,0.1,7,,7.99,3,,0.16802,0.00059,0.00348,1.32939,0,0.00266,0.28294,0.29817,0.10601,0.00779,0.00008,0.25848,0.00185,0.00054,0.00012,0,0,0.00795,0.1,0,1.21,,,,0.69,,-16.18,-119.37
bench_outlet,9/11/16 16:40,0.2,5,,7.78,3,,0.23193,0.00085,0.0047,1.81008,0.00071,0.00409,0.41766,0.69214,0.13789,0.01083,0,1.08086,0.00254,0.00081,0.00014,0,0,0.01125,0.39,1.19,0,,,,0.69,,-15.91,-117.91
bench_outlet,6/17/17 11:35,0.6,59,,7.39,,,,,,10.54,,,,0.3,0.46,,,0.69,,,,,,,,,,0,0.014,0,0.21,,-18.1,-139.24
bench_outlet,6/18/17 11:50,0.2,38,,7.25,,,,,,8.38,,,,0.28,0.28,,,0.53,,,,,,,,,,0,0,0,,,-17.4,-127.94
bench_outlet,6/19/17 9:35,3.2,29,,7.22,,,,,,5.6,,,,0.2,0.19,,,0.38,,,,,,,,,,0,0,0,0.15,,-16.67,-127.69
cabin_groundwater,7/16/16 8:06,12.9,120,,7.74,60,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,-16.52,-122.83
cabin_groundwater,7/17/16 18:54,17.5,131,,7.53,65,,0.03088,0.09794,0.00969,20.17777,0,0.00089,0,0.30135,0.74786,0,0.00095,1.0302,0.00054,0,0.00175,0.0007,0.00013,0.0186,0,0,1.27,,,,0.4,,-16.22,-120.37
cabin_groundwater,8/20/16 20:10,,,,,,,0,0.06314,0.00738,16.5234,0,0.00076,0,0.16446,0.5876,0,0.00066,0.7065,0.00037,0,0.00126,0.00033,0,0.0051,0,,12.39,,,,1.93,,-15.07,-109.97
cabin_groundwater,8/22/16 14:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,-15.73,-116.73
cabin_groundwater,8/23/16 13:30,,,,,,,0.00289,0.00142,0.00482,13.06867,0,0,0,0.10832,0.30153,0,0,0.63682,0.00102,0,0,0,0,0.00263,0,0.25,3.18,,,,,,-14.3,-107.35
cabin_groundwater,9/8/16 16:11,10.5,97,,7.45,49,,0.00659,0.06046,0.00647,12.85032,0,0.0023,0,1.1572,0.57907,0,0.00066,1.4552,0.00076,0,0.00107,0,0,0.01625,1.24,0.26,7.04,,,,0.56,,-15.6,-119.76
cabin_groundwater,9/9/16 9:30,6.6,102,,7.73,50,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,-15.89,-118.87
cabin_groundwater,9/11/16 16:22,8,96,,7.27,48,,0,0.07452,0.00847,18.77901,0,0.00052,0,0.14782,0.69418,0,0.00081,0.7273,0,0,0.00146,0.00057,0,0.00344,0,,50.8,,,,0.57,,-15.5,-116.88
cabin_groundwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.85,-117.78
cabin_stream,5/13/16 16:03,0.8,60,,8.08,30,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,1.62,-18.21,-134.37
cabin_stream,7/17/16 16:54,10.4,34,,7.64,17,,0.05147,0.00052,0.00276,5.51138,0,0,0,0,0.15771,0,0,0.3393,0,0,0,0,0,0.00437,0,0.29,2.85,,,,0.28,,-15.61,-116.06
cabin_stream,9/8/16 7:37,6.4,59,,7.92,29,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,-15.27,-116.63
cabin_stream,9/9/16 10:02,6.2,61,,8.04,30,,0.00326,0.00057,0.00318,6.23329,0,0,0,0,0.20183,0,0,0.38853,0,0,0,0,0,0.00111,0,0.19,3.03,,,,0.98,,-15.56,-117.69
cabin_stream,9/11/16 16:58,6.8,56,,7.35,28,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-14.87,-115.39
cabin_stream,9/12/16 13:47,8.4,47,,7.44,24,,0.01152,0.00052,0.00434,6.58687,0,0,0,0.25678,0.29384,0,0,0.62705,0,0,0,0,0,0.00274,0.41,0.23,4.18,,,,1.5,,-13.97,-102.58
cabin_stream,6/15/17 21:45,1.4,35,,7.27,,,,,,8.6,,,,0.05,0.25,,,0.46,,,,,,,,,,0,0,0,0.33,,-17.28,-130.76
cabin_stream,6/17/17 19:10,2,36,,7.32,,,,,,8.69,,,,0.05,0.26,,,0.48,,,,,,,,,,0,0,0,0.35,,-17.18,-131.95
cabin_stream,6/18/17 18:02,3.2,32,,7.31,,,,,,7.88,,,,0.05,0.23,,,0.46,,,,,,,,,,0,0,0,0.41,,-17.21,-130.7
cabin_stream,6/19/17 7:31,1.6,38,,7.08,,,,,,8.97,,,,0.05,0.27,,,0.49,,,,,,,,,,0,0,0,0.6,,-17.16,-131.78
camp lake,7/14/16 12:17,23.7,17,,6.75,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,-12.82,-106.79
glacial_melt,7/21/17 14:51,1.1,13,,8.61,,,,,,11.08,,,,0.03,0.2,,,0.71,,,,,,,,,,,,,0.14,,-15.69,-120.18
glacial_melt,7/23/17 19:42,0.4,8,,8.35,,,,,,4.9,,,,0.09,0.11,,,0.4,,,,,,,,,,0,0,0,0.14,,-15.65,-116.35
glacial_melt,7/24/17 9:17,0,7,,6.48,,,,,,10.65,,,,0.08,0.2,,,0.87,,,,,,,,,,0,0,0,0.08,,-15.6,-117.12
glacial_melt,9/8/17 15:10,0.8,4,12.52,6.45,,2,,,,6.69,,,,0.1,0.14,,,0.48,,,,,,,,,,,,,0,,-16.58,-129.93
glacial_melt,9/10/17 17:23,1.5,39,11.1,6.76,,136,,,,8.26,,,,0.1,0.14,,,0.55,,,,,,,,,,,,,0.45,,-15.99,-121.54
glacial_melt,9/12/17 11:32,1,2,13.72,5.2,,1,,,,15.74,,,,0.26,0.4,,,0.8,,,,,,,,,,,,,0,,-15.76,-118.24
ground_seep,7/16/16 15:00,24.9,86,,8.14,43,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,-14.42,-110.11
ground_seep,8/25/16 10:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,-13.84,-105
ground_seep,9/9/16 12:21,8.7,79,,7.62,40,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,-15.14,-113.52
ground_seep,9/12/16 10:18,7.8,91,,7.31,45,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,-13.67,-101.31
lake_inlet,5/12/16 10:15,0.5,35,,6.65,22,,0.0152,0.00071,0.00379,7.39116,0,0,0,0.05942,0.16273,0,0.00028,0.61787,0,0,0.00083,0,0,0.00528,0,0,1.46,,,,0.96,1.43,-17.76,-130.74
lake_inlet,5/12/16 16:00,0.4,39,,7.03,19,,0.02286,0.00057,0.00375,6.6667,0,0,0,0,0.1212,0,0,0.58657,0.00033,0,0,0,0,0.00311,0.64,0.29,2.14,,,,0.94,1.39,-18.05,-131.76
lake_inlet,5/30/16 16:50,1.1,18,,7.92,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,-16.33,-119.01
lake_inlet,6/1/16 9:36,1.5,19,,6.67,9,,0.01632,0.00022,0.00155,1.61527,0,0,0,0,0,0,0,0.11132,0,0,0,0,0,0.00171,0.23,0.19,0.51,,,,0.41,1.36,-17.27,-125.52
lake_inlet,7/14/16 13:56,16.1,18,,7.65,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,-13.85,-109.22
lake_inlet,7/16/16 9:56,10.3,22,,8.07,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,-15.43,-113.41
lake_inlet,7/17/16 9:08,9.7,21,,7.71,10,,0,0,0,0,0,0,0,0,0,0,0,0.15679,0,0,0,0,0,0,0,,1.02,,,,0.28,,-14.14,-109.04
lake_inlet,7/18/16 9:46,10.6,23,,7.47,11,,0.04094,0.00464,0.00231,4.94782,0,0.00144,0,0.15315,0,0,0.00025,0.36384,0,0,0.00018,0,0,0.01174,0,,44.75,,,,0.33,,-15.14,-112.09
lake_inlet,8/23/16 15:00,,,,,,,0.01713,0.00102,0.00373,5.35235,0,0,0,0,0,0,0,0.41088,0,0,0,0,0,0.00132,0,0.25,1.65,,,,,,-14.07,-105.08
lake_inlet,8/25/16 10:20,,,,,,,0.01935,0.00167,0.0054,6.12638,0,0.00038,0,0,0.11744,0,0.0004,0.36476,0,0,0.00033,0,0,0.00301,0,,0.3,,,,2.12,,-13.56,-101.12
lake_inlet,9/7/16 14:45,11.7,46,,7.78,23,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,-14.15,-106.06
lake_inlet,9/9/16 11:27,6.7,47,,7.75,24,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,-14.09,-107.63
lake_inlet,9/11/16 10:00,6.2,53,,7.02,27,,0.00653,0.00083,0.00547,9.94805,0,0.00041,0,0,0.2007,0,0.00038,0.75975,0,0.0001,0.00025,0,0,0.00274,0,0,1.67,,,,1.34,,-14.13,-107.33
lake_inlet,9/12/16 9:33,7.3,33,,6.84,17,,0.02898,0.00083,0.00319,3.81329,0,0,0,0.0936,0,0,0,0.29995,0.00031,0,0,0,0,0.00374,0,0.16,1.05,,,,2.54,,-13.32,-99.81
lake_inlet,10/15/16 12:00,,,,,,,0.00809,0.00042,0.0046,9.37024,0,0,0,0.0314,0.17931,0,0.00034,0.68191,0.00036,0,0.00015,0,0,0.0013,0,0.23,2.17,,,,1.2,1.41,,
lake_inlet,6/15/17 20:41,6.3,21,,7.29,,,,,,5.99,,,,0.06,0.11,,,0.38,,,,,,,,,,0,0,0,,,-16.38,-125.05
