,SampleID,Site,Datetime,doy,yearS,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O,As,Ba,Cr,Cu,Mo,Ni,Pb,Sb,Se,V,Zn,Sonde
12,WG0142,forest,9/7/21 14:15,250,2021,NA,59.27,NA,6.5,NA,NA,560.98,28.07,0.02,11.93,0,0.03,0.41,0,0.82,1.59,0.07,0.01,0.53,0.05,0,0,2.47,0,0,0,0.03,1.22,1.34,0.91,7.13,-111.764,-15.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.46192892
18,WG0150,forest,9/26/21 17:45,269,2021,NA,52.34,NA,6.24,NA,NA,474.08,23.73,0.03,10.08,0.01,0.08,0.38,0,0.79,1.67,0.06,0,0.73,0,0,0,1.95,0,0,0,0.03,1.98,1.34,0.88,10.02,-111.05,-15.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.09728898
110,WG0170,forest,5/4/22 12:15,124,2022,NA,34.41,NA,5.87,NA,NA,242.66,12.14,0.06,5.84,0.01,0.01,0.27,0,0.7,1.16,0.04,0,1.64,0,0.07,0,1.22,NA,0,NA,NA,2.61,1.27,0.95,20.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.96434651
101,WG0194,forest,8/4/22 11:00,216,2022,NA,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,0.93,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.697209048
181,WG0209,forest,9/2/22 18:00,245,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0.96,12.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.783555
2,WG0124,gage,5/13/21 19:00,133,2021,NA,65.36,NA,6.25,NA,NA,537.53,26.9,0.01,13.53,0,0.16,0.35,0,0.62,0.88,0.07,0,0.83,0,0.04,0,6.97,0,0.06,0.01,0.07,0.92,1.35,0.91,5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,WG0129,gage,6/4/21 11:45,155,2021,NA,48.49,NA,6.13,NA,NA,307.37,15.38,0.02,8.78,0.01,0.11,0.3,0,0.49,0.51,0.05,0,0.61,0,0.01,0,7.23,0,0.01,0.01,0.03,0.53,NA,NA,NA,-138.324,-19.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,WG0144,gage,9/7/21 17:00,250,2021,NA,13.62,NA,5.95,NA,NA,78.75,3.94,0,4.39,0,0.02,0.21,0,0.16,0.14,0.02,0,0.09,0.05,0.01,0,4.21,0,0,0,0.01,0.27,1.56,0.51,0.33,-124.623,-16.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,WG0153,gage,9/29/21 11:30,272,2021,NA,69.16,NA,6.21,NA,NA,405.5,20.29,0.01,12.14,0,0.08,0.47,0,0.44,0.45,0.07,0,0.29,0,0.01,0,12.08,0,0,0,0.01,0.29,1.58,0.23,0.73,-117.75,-14.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,WG0163,gage,10/25/21 12:00,298,2021,NA,67.03,NA,6.39,NA,NA,537.41,26.89,0.01,13.5,0.01,0.09,0.37,0,0.46,0.76,0.07,0.02,0.34,0,0.02,0,9.29,0,0,0.03,0,0.46,1.37,0.89,2.61,-127.97,-17.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,WG0184,gage,5/10/22 13:45,130,2022,NA,72.65,NA,6.02,NA,NA,596.09,29.83,0.01,14.37,0,0.1,0.36,0,0.58,0.95,0.08,0,0.46,0,0.3,0,6.67,NA,0.32,NA,NA,0.7,1.38,0.58,7.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05
71,WG0188,gage,6/25/22 13:15,176,2022,NA,27.59,NA,5.85,NA,NA,193.43,9.68,0.04,4.92,0.02,0.03,0.21,0,0.23,0.29,0.03,0.01,0.43,0,0.01,0,3.47,NA,NA,NA,NA,0.73,1.26,0.54,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,WG0206,gage,9/2/22 14:00,245,2022,1.6,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,0.51,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,WG0363,gage,10/7/22 16:00,280,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6425
3,WG0126,glacier,5/14/21 12:45,134,2021,NA,75.39,NA,6.27,NA,NA,609.34,30.49,0.01,15.21,0,0.13,0.47,0,0.65,0.95,0.07,0,0.78,0,0.02,0,8.73,0,0.03,0,0.04,0.67,1.47,0.31,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,WG0145,glacier,9/8/21 10:45,251,2021,NA,20.99,NA,6,NA,NA,162.29,8.12,0,3.99,0,0,0.1,0,0.11,0.27,0.02,0,0.04,0.05,0,0,1.88,0,0,0,0,0.21,1.27,0.55,0.19,-123.826,-16.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383333333
16,WG0105,glacier,9/10/21 19:00,253,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,0.27,5.06,-121.749,-16.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,WG0197,glacier,8/6/22 11:45,218,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,0.72,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,WG0216,glacier,9/3/22 16:45,246,2022,1.9,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,0.59,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
