SampleID,Site,Time Point,Rep,DOC_mgL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0235,Shrub,0.0,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0236,Shrub,0.0,2,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0237,Shrub,0.0,3,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0238,Shrub,0.5,1,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0239,Shrub,0.5,2,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0240,Shrub,0.5,3,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0241,Shrub,1.0,1,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0242,Shrub,1.0,2,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0243,Shrub,1.0,3,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0244,Shrub,2.0,1,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0245,Shrub,2.0,2,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0246,Shrub,2.0,3,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0247,Shrub,6.0,1,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0248,Shrub,6.0,2,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0249,Shrub,6.0,3,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0250,Shrub,14.0,1,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0251,Shrub,14.0,2,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0252,Shrub,14.0,3,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0253,Shrub,28.0,1,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
