SampleID,Site,Datetime,doy,yearS,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O,As,Ba,Cr,Cu,Mo,Ni,Pb,Sb,Se,V,Zn
NA,stream_gauge,2016-04-18T20:00:00Z,109,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.01211,13.66589,0,0.20482,0.28734,0,0.86104,NA,NA,NA,0.87,NA,0.37,NA,6.58,NA,NA,NA,NA,1.7,1.71,NA,NA,-126.96,-17.17,0.00337,0.00375,0,0,8.7e-4,8.8e-4,0,0.00128,0,0,0.00247
NA,stream_gauge,2016-04-21T23:00:00Z,112,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,1.63,NA,NA,-122.12,-16.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-08T01:15:00Z,128,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.01279,9.57307,0,0.10663,0.18944,0,0.63058,NA,NA,NA,0.59,NA,0.29,NA,4.56,NA,NA,NA,NA,1.6,1.73,NA,NA,-126.21,-17.11,0.00222,0.0024,0,0,6.6e-4,3.9e-4,0,8.5e-4,0,0,3.1e-4
NA,Terminus,2016-05-11T01:00:00Z,131,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.02,-16.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-11T01:55:00Z,131,2016,0.6,62,NA,8.68,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1.68,NA,NA,-125.47,-16.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-11T19:13:00Z,132,2016,0.7,54,NA,8.15,27,NA,NA,NA,0,9.22329,0,0.10117,0.20585,0,0.60329,NA,NA,NA,0,NA,NA,NA,23.71,NA,NA,NA,NA,0.42,1.71,NA,NA,-127.27,-17.25,0.00221,0.00302,0,4.2e-4,5.1e-4,0,0,0.00237,0,0,0.0024
NA,stream_gauge,2016-05-11T21:05:00Z,132,2016,1,53,NA,7.91,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1.55,NA,NA,-117.88,-16.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-05-12T18:15:00Z,133,2016,0.5,35,NA,6.65,22,NA,NA,NA,0.0152,7.39116,0,0.05942,0.16273,0,0.61787,NA,NA,NA,0,NA,0,NA,1.46,NA,NA,NA,NA,0.96,1.43,NA,NA,-130.74,-17.76,7.1e-4,0.00379,0,0,2.8e-4,0,0,8.3e-4,0,0,0.00528
NA,Terminus,2016-05-12T20:00:00Z,133,2016,0.6,53,NA,7.53,27,NA,NA,NA,0.02715,9.14043,0,0.43676,0.2014,0,0.83732,NA,NA,NA,0.8,NA,0.29,NA,4.8,NA,NA,NA,NA,0.24,1.79,NA,NA,-124.61,-16.86,0.00349,0.00243,0,0,0.00119,6.5e-4,0,8.6e-4,0,0,0.01139
NA,lake_inlet,2016-05-13T00:00:00Z,133,2016,0.4,39,NA,7.03,19,NA,NA,NA,0.02286,6.6667,0,0,0.1212,0,0.58657,NA,NA,NA,0.64,NA,0.29,NA,2.14,NA,NA,NA,NA,0.94,1.39,NA,NA,-131.76,-18.05,5.7e-4,0.00375,0,0,0,3.3e-4,0,0,0,0,0.00311
NA,Terminus,2016-05-13T16:40:00Z,134,2016,0.6,51,NA,7.84,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1.75,NA,NA,-120.22,-16.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
