SampleID,Site,Datetime,doy,yearS,Temperature,DO_mgl,DO_perctsat,SpC_field,pH_field,pH_lab,ANC_H,ANC_CACO3,SpC_lab,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,P_PO4,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,DOC,FInew,Abs254,FDOM_lab,HIX,SlopeRatio,pnum,pdenom,Fmax370,MaxFluor313,T280,FAem,FAex,HAem,HAex,Beta1,Alpha,Freshness_Index,d2H,d18O,d17O,F_Modern,Fm_Err,Age,Age_Err,d13C,d13C_Source,D14C,DOC_Conc,Fluoresence_Index,Peak_370,TDS,Turbidity,As,Ba,Cr,Cu,Mo,Ni,Pb,Sb,Se,V,Zn
NA,stream_gauge,2016-04-18T20:00:00Z,109,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,0.37,NA,6.58,NA,NA,NA,NA,NA,0.01211,13.66589,0,0.20482,0.28734,0,0.86104,NA,NA,1.7,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-126.96,-17.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00337,0.00375,0,0,8.7e-4,8.8e-4,0,0.00128,0,0,0.00247
NA,stream_gauge,2016-04-21T23:00:00Z,112,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.12,-16.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-08T01:15:00Z,128,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,0.29,NA,4.56,NA,NA,NA,NA,NA,0.01279,9.57307,0,0.10663,0.18944,0,0.63058,NA,NA,1.6,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-126.21,-17.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00222,0.0024,0,0,6.6e-4,3.9e-4,0,8.5e-4,0,0,3.1e-4
NA,terminus,2016-05-11T01:00:00Z,131,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.02,-16.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-11T01:55:00Z,131,2016,0.6,NA,NA,62,8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-125.47,-16.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,terminus,2016-05-11T19:13:00Z,132,2016,0.7,NA,NA,54,8.15,NA,NA,NA,NA,NA,0,NA,NA,NA,23.71,NA,NA,NA,NA,NA,0,9.22329,0,0.10117,0.20585,0,0.60329,NA,NA,0.42,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.27,-17.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,0.00221,0.00302,0,4.2e-4,5.1e-4,0,0,0.00237,0,0,0.0024
NA,stream_gauge,2016-05-11T21:05:00Z,132,2016,1,NA,NA,53,7.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.88,-16.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-05-12T18:15:00Z,133,2016,0.5,NA,NA,35,6.65,NA,NA,NA,NA,NA,0,NA,0,NA,1.46,NA,NA,NA,NA,NA,0.0152,7.39116,0,0.05942,0.16273,0,0.61787,NA,NA,0.96,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.74,-17.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,7.1e-4,0.00379,0,0,2.8e-4,0,0,8.3e-4,0,0,0.00528
NA,terminus,2016-05-12T20:00:00Z,133,2016,0.6,NA,NA,53,7.53,NA,NA,NA,NA,NA,0.8,NA,0.29,NA,4.8,NA,NA,NA,NA,NA,0.02715,9.14043,0,0.43676,0.2014,0,0.83732,NA,NA,0.24,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.61,-16.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,0.00349,0.00243,0,0,0.00119,6.5e-4,0,8.6e-4,0,0,0.01139
NA,lake_inlet,2016-05-13T00:00:00Z,133,2016,0.4,NA,NA,39,7.03,NA,NA,NA,NA,NA,0.64,NA,0.29,NA,2.14,NA,NA,NA,NA,NA,0.02286,6.6667,0,0,0.1212,0,0.58657,NA,NA,0.94,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-131.76,-18.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,5.7e-4,0.00375,0,0,0,3.3e-4,0,0,0,0,0.00311
NA,terminus,2016-05-13T16:40:00Z,134,2016,0.6,NA,NA,51,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.22,-16.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,supraglacial,2016-05-13T20:00:00Z,134,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,cabin_stream,2016-05-14T00:03:00Z,134,2016,0.8,NA,NA,60,8.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-134.37,-18.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,surface_snow,2016-05-14T01:30:00Z,134,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-138.39,-18.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,nellie_juan,2016-05-14T19:15:00Z,135,2016,3.2,NA,NA,39,7.77,NA,NA,NA,NA,NA,0.54,NA,0.45,NA,2.82,NA,NA,NA,NA,NA,0.0259,5.95642,0,0.10924,0.24624,0,0.53473,NA,NA,2.52,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.21,-15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,4.5e-4,0.00279,0,0,0,4e-4,0,0,0,0,0.00598
NA,nellie_juan,2016-05-14T19:30:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.73,-13.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,nellie_juan_delta_iso,2016-05-14T19:35:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.69,-15.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,nellie_juan_delta_iso,2016-05-14T19:40:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.85,-16.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-05-14T19:45:00Z,135,2016,0.9,NA,NA,43,7.75,NA,NA,NA,NA,NA,0.61,NA,0.3,NA,3.24,NA,NA,NA,NA,NA,0.02401,7.51732,0,0.1734,0.15131,0,0.51283,NA,NA,0.56,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.45,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,0.00207,0.0022,0,0,0,4.5e-4,0,0,0,0,0.00313
NA,stream_gauge,2016-05-14T19:49:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.44,-17.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
