wolv utc-9,wolv wt cor fDOM QSE,"Fractional day of year 2020. 1= 1/2/20 0:00hrs, ""43832""",
5/2/2020 16:15,3.63,121.68,
5/2/2020 16:30,3.7,121.69,
5/2/2020 16:45,3.78,121.70,
5/2/2020 17:00,3.78,121.71,
5/2/2020 17:15,3.78,121.72,
5/2/2020 17:30,3.78,121.73,
5/2/2020 17:45,3.7,121.74,
5/2/2020 18:00,3.7,121.75,
5/2/2020 18:15,3.7,121.76,
5/2/2020 18:30,3.7,121.77,
5/2/2020 18:45,3.7,121.78,
5/2/2020 19:00,3.62,121.79,
5/2/2020 19:15,3.62,121.80,
5/2/2020 19:30,3.54,121.81,
5/2/2020 19:45,3.53,121.82,
5/2/2020 20:00,3.54,121.83,
5/2/2020 20:15,3.45,121.84,
5/2/2020 20:30,3.46,121.85,
5/2/2020 20:45,3.46,121.86,
5/2/2020 21:00,3.38,121.88,
5/2/2020 21:15,3.29,121.89,
5/2/2020 21:30,3.29,121.90,
5/2/2020 21:45,3.29,121.91,
5/2/2020 22:00,3.3,121.92,
5/2/2020 22:15,3.21,121.93,
5/2/2020 22:30,3.21,121.94,
5/2/2020 22:45,3.21,121.95,
5/2/2020 23:00,3.21,121.96,
5/2/2020 23:15,3.21,121.97,
5/2/2020 23:30,3.13,121.98,
5/2/2020 23:45,3.13,121.99,
5/3/2020 0:00,3.13,122.00,
5/3/2020 0:15,3.13,122.01,
5/3/2020 0:30,3.13,122.02,
5/3/2020 0:45,3.05,122.03,
5/3/2020 1:00,3.13,122.04,
5/3/2020 1:15,3.05,122.05,
5/3/2020 1:30,3.05,122.06,
5/3/2020 1:45,3.05,122.07,
5/3/2020 2:00,3.05,122.08,
5/3/2020 2:15,3.05,122.09,
5/3/2020 2:30,3.05,122.10,
5/3/2020 2:45,3.05,122.11,
5/3/2020 3:00,3.05,122.13,
5/3/2020 3:15,3.05,122.14,
5/3/2020 3:30,3.05,122.15,
5/3/2020 3:45,2.97,122.16,
5/3/2020 4:00,2.97,122.17,
5/3/2020 4:15,2.97,122.18,
5/3/2020 4:30,2.89,122.19,
5/3/2020 4:45,2.97,122.20,
5/3/2020 5:00,2.89,122.21,
5/3/2020 5:15,2.97,122.22,
5/3/2020 5:30,2.89,122.23,
5/3/2020 5:45,2.89,122.24,
5/3/2020 6:00,2.89,122.25,
5/3/2020 6:15,2.89,122.26,
5/3/2020 6:30,2.89,122.27,
5/3/2020 6:45,2.89,122.28,
5/3/2020 7:00,2.81,122.29,
5/3/2020 7:15,2.81,122.30,
5/3/2020 7:30,2.81,122.31,
5/3/2020 7:45,2.73,122.32,
5/3/2020 8:00,2.73,122.33,
5/3/2020 8:15,2.73,122.34,
5/3/2020 8:30,2.74,122.35,
5/3/2020 8:45,2.74,122.36,
5/3/2020 9:00,2.74,122.38,
5/3/2020 9:15,2.82,122.39,
5/3/2020 9:30,2.57,122.40,
5/3/2020 9:45,2.65,122.41,
5/3/2020 10:00,2.65,122.42,
5/3/2020 10:15,2.65,122.43,
5/3/2020 10:30,2.65,122.44,
5/3/2020 10:45,2.66,122.45,
5/3/2020 11:00,2.58,122.46,
5/3/2020 11:15,2.58,122.47,
5/3/2020 11:30,2.58,122.48,
5/3/2020 11:45,2.66,122.49,
5/3/2020 12:00,2.66,122.50,
5/3/2020 12:15,2.66,122.51,
5/3/2020 12:30,2.58,122.52,
5/3/2020 12:45,2.58,122.53,
5/3/2020 13:00,2.58,122.54,
5/3/2020 13:15,2.58,122.55,
5/3/2020 13:30,2.58,122.56,
5/3/2020 13:45,2.58,122.57,
5/3/2020 14:00,2.66,122.58,
5/3/2020 14:15,2.66,122.59,
5/3/2020 14:30,2.66,122.60,
5/3/2020 14:45,2.66,122.61,
5/3/2020 15:00,2.66,122.63,
5/3/2020 15:15,2.74,122.64,
5/3/2020 15:30,2.82,122.65,
5/3/2020 15:45,2.82,122.66,
5/3/2020 16:00,2.82,122.67,
5/3/2020 16:15,2.9,122.68,
5/3/2020 16:30,2.9,122.69,
5/3/2020 16:45,2.98,122.70,
5/3/2020 17:00,2.98,122.71,
5/3/2020 17:15,3.06,122.72,
5/3/2020 17:30,3.06,122.73,
5/3/2020 17:45,3.06,122.74,
5/3/2020 18:00,3.14,122.75,
5/3/2020 18:15,3.14,122.76,
5/3/2020 18:30,3.14,122.77,
5/3/2020 18:45,3.22,122.78,
5/3/2020 19:00,3.3,122.79,
5/3/2020 19:15,3.3,122.80,
5/3/2020 19:30,3.3,122.81,
5/3/2020 19:45,3.38,122.82,
5/3/2020 20:00,3.38,122.83,
5/3/2020 20:15,3.38,122.84,
5/3/2020 20:30,3.46,122.85,
5/3/2020 20:45,3.46,122.86,
5/3/2020 21:00,3.46,122.88,
5/3/2020 21:15,3.46,122.89,
5/3/2020 21:30,3.46,122.90,
5/3/2020 21:45,3.54,122.91,
5/3/2020 22:00,3.46,122.92,
5/3/2020 22:15,3.46,122.93,
5/3/2020 22:30,3.46,122.94,
5/3/2020 22:45,3.46,122.95,
5/3/2020 23:00,3.45,122.96,
5/3/2020 23:15,3.45,122.97,
5/3/2020 23:30,3.45,122.98,
5/3/2020 23:45,3.37,122.99,
5/4/2020 0:00,3.54,123.00,
5/4/2020 0:15,3.46,123.01,
5/4/2020 0:30,3.45,123.02,
5/4/2020 0:45,3.45,123.03,
5/4/2020 1:00,3.46,123.04,
